DisNo.,Historic,Classification Key,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,External IDs,Event Name,ISO,Country,Subregion,Region,Location,Origin,Associated Types,OFDA/BHA Response,Appeal,Declaration,AID Contribution ('000 US$),Magnitude,Magnitude Scale,Latitude,Longitude,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No. Injured,No. Affected,No. Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damage ('000 US$),"Insured Damage, Adjusted ('000 US$)",Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)",CPI,Admin Units,Entry Date,Last Update
2000-0361-VNM,No,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,,VNM,Viet Nam,South-eastern Asia,Asia,"Binh Hoa, Giao Ha villages (Giao Thuy district, Nam Dinh province)",,,No,No,No,,,Kph,,,,2000,6,12,2000,6,12,3,29,,100,129,,,,,,,54.8951519735366,"[{""adm2_code"":74157,""adm2_name"":""Giao Thuy""}]",2003-07-01,2023-09-25
2000-0408-VNM,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,VNM,Viet Nam,South-eastern Asia,Asia,"Long An, Dong Thap, An Giang, Kien Giang, Can Tho city, Vinh Long, Tien Giang provinces",,,Yes,No,No,9402,1400,Km2,,,,2000,7,,2000,11,,460,4,5000000,,5000004,,,,,250000,455414,54.8951519735366,"[{""adm1_code"":3326,""adm1_name"":""An Giang""},{""adm1_code"":3343,""adm1_name"":""Dong Thap""},{""adm1_code"":3356,""adm1_name"":""Kien Giang""},{""adm1_code"":3362,""adm1_name"":""Long An""},{""adm1_code"":3384,""adm1_name"":""Tien Giang""},{""adm1_code"":3388,""adm1_name"":""Vinh Long""},{""adm1_code"":73933,""adm1_name"":""Can Tho city""}]",2006-09-17,2023-09-25
2000-0439-VNM,No,nat-hyd-mmw-lan,Natural,Hydrological,Mass movement (wet),Landslide (wet),,,VNM,Viet Nam,South-eastern Asia,Asia,"Ban Sai village (Sa Pa district, Lao Cai province)",,,No,No,No,,,,,,,2000,7,22,2000,7,22,33,22,,,22,,,,,,,54.8951519735366,"[{""adm2_code"":32444,""adm2_name"":""Sa Pa""}]",2003-07-01,2023-09-25
2000-0448-VNM,No,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,,VNM,Viet Nam,South-eastern Asia,Asia,Can Tho city province,,,No,No,No,,,Kph,,,,2000,7,10,2000,7,10,,,2005,,2005,,,,,,,54.8951519735366,"[{""adm1_code"":73933,""adm1_name"":""Can Tho city""}]",2003-07-01,2023-09-25
2000-0518-VNM,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Kaemi,VNM,Viet Nam,South-eastern Asia,Asia,"Quang Binh, Quang Tri, Thua Thien - Hue, Quang Nam, Quang Ngai, Binh Dinh, Da Nang City provinces",,,No,No,No,,,Kph,,,,2000,8,20,2000,8,20,15,4,,,4,,,,,5000,9108,54.8951519735366,"[{""adm1_code"":3333,""adm1_name"":""Binh Dinh""},{""adm1_code"":3340,""adm1_name"":""Da Nang City""},{""adm1_code"":3371,""adm1_name"":""Quang Binh""},{""adm1_code"":3372,""adm1_name"":""Quang Nam""},{""adm1_code"":3374,""adm1_name"":""Quang Ngai""},{""adm1_code"":3376,""adm1_name"":""Quang Tri""},{""adm1_code"":3383,""adm1_name"":""Thua Thien - Hue""}]",2003-07-01,2023-09-25
2000-0540-VNM,No,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,,VNM,Viet Nam,South-eastern Asia,Asia,"My Tho City, Go Cong Township districts (Tien Giang province)",,,No,No,No,,,Kph,,,,2000,8,24,2000,8,24,,100,,5630,5730,,,,,,,54.8951519735366,"[{""adm2_code"":74228,""adm2_name"":""Go Cong Township""},{""adm2_code"":74229,""adm2_name"":""My Tho City""}]",2003-07-01,2023-09-25
2000-0541-VNM,No,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,,VNM,Viet Nam,South-eastern Asia,Asia,Rach Gia Township district (Kien Giang province),,,No,No,No,,,Kph,,,,2000,8,24,2000,8,24,,3,500,,503,,,,,35,64,54.8951519735366,"[{""adm2_code"":32402,""adm2_name"":""Rach Gia Township""}]",2003-07-01,2023-09-25
2000-0542-VNM,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,,VNM,Viet Nam,South-eastern Asia,Asia,"Khanh Binh Tay village (Tran Van Thoi district, Ca Mau province)",,,No,No,No,,,Kph,,,,2000,8,24,2000,8,24,,4,,130,134,,,,,,,54.8951519735366,"[{""adm2_code"":32268,""adm2_name"":""Tran Van Thoi""}]",2003-07-01,2023-09-25
2000-0582-VNM,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Wukong,VNM,Viet Nam,South-eastern Asia,Asia,"Thach Ha, Cam Xuyen, Ky Anh districts (Ha Tinh province)",,,No,No,No,,120,Kph,,,,2000,9,10,2000,9,10,5,29,,6000,6029,,,,,21000,38255,54.8951519735366,"[{""adm2_code"":32346,""adm2_name"":""Cam Xuyen""},{""adm2_code"":32351,""adm2_name"":""Ky Anh""},{""adm2_code"":32353,""adm2_name"":""Thach Ha""}]",2003-07-01,2023-09-25
2000-0680-VNM,No,nat-hyd-mmw-lan,Natural,Hydrological,Mass movement (wet),Landslide (wet),,,VNM,Viet Nam,South-eastern Asia,Asia,Sin Ho district (Lai Chau province),,,No,No,No,,,,,,,2000,10,3,2000,10,3,40,17,,,17,,,,,,,54.8951519735366,"[{""adm2_code"":74143,""adm2_name"":""Sin Ho""}]",2003-07-01,2023-09-25
2000-0748-VNM,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,VNM,Viet Nam,South-eastern Asia,Asia,"Quang Nam, Khanh Hoa, Phu Yen, Ninh Thuan, Binh Thuan, Quang Ngai, Binh Dinh, Quang Tri, Thua Thien-Hue provinces",,,No,No,No,,49140,Km2,,,,2000,11,18,2000,11,26,36,3,25000,,25003,,,,,15000,27325,54.8951519735366,"[{""adm1_code"":3333,""adm1_name"":""Binh Dinh""},{""adm1_code"":3336,""adm1_name"":""Binh Thuan""},{""adm1_code"":3355,""adm1_name"":""Khanh Hoa""},{""adm1_code"":3368,""adm1_name"":""Ninh Thuan""},{""adm1_code"":3370,""adm1_name"":""Phu Yen""},{""adm1_code"":3372,""adm1_name"":""Quang Nam""},{""adm1_code"":3374,""adm1_name"":""Quang Ngai""},{""adm1_code"":3376,""adm1_name"":""Quang Tri""},{""adm1_code"":3383,""adm1_name"":""Thua Thien - Hue""}]",2004-10-19,2023-09-25
