country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Angola,506,501,488,489,480,461,456,448,430,434,428,429,429,446,434,393,423,447,472,505,487,486,531,512,447,518,463,457,405,417,398,418,423,
Albania,813,573,418,412,441,417,448,385,427,577,581,598,661,649,717,721,708,681,712,734,731,767,690,804,811,762,786,824,823,817,762,810,781,
UAE,10.7k,11.7k,10.6k,10.6k,11.2k,11.4k,11.3k,10.9k,10.4k,9840,8960,11.7k,10.9k,10.1k,9440,9540,9240,8930,9430,9490,8940,8560,8610,8860,9630,10.1k,10.4k,8520,8480,8820,8150,8670,8340,
Argentina,1350,1390,1410,1430,1530,1510,1530,1570,1650,1670,1640,1520,1480,1590,1740,1710,1780,1850,1890,1720,1830,1870,1900,1930,1910,1920,1890,1870,1810,1780,1620,1740,1810,
Armenia,2170,2250,1160,635,410,497,543,574,591,579,626,625,586,623,662,799,818,918,973,851,816,897,982,960,1050,1080,1040,1110,1070,1160,1230,1270,1350,
Antigua and Barbuda,1570,,,,,,,,,,,,,,1710,1720,1770,1790,,,,,,,,,,,,,,,,
Australia,5050,4930,4960,5170,5130,5140,5430,5500,5580,5640,5680,5490,5480,5620,5650,5620,5780,5850,5950,5840,5760,5700,5530,5530,5410,5320,5220,5320,5280,5300,5230,5070,4890,5080
Austria,3240,3420,3250,3260,3230,3370,3580,3550,3610,3590,3570,3760,3770,3960,3970,4080,4110,4010,4030,3820,4070,3930,3900,3920,3750,3800,3800,3840,3720,3770,3550,3730,3470,3320
Azerbaijan,3160,3090,2460,2180,1950,1810,1510,1440,1490,1370,1400,1410,1410,1480,1540,1600,1560,1460,1590,1390,1310,1400,1500,1500,1530,1510,1480,1480,1470,1590,1540,1630,1720,
Belgium,4800,5000,5040,4900,5190,5260,5530,5530,5620,5610,5660,5610,5400,5610,5620,5550,5450,5300,5430,5160,5510,5060,4820,5000,4700,4660,4900,4860,4660,4770,4360,4790,4330,4000
Benin,315,310,308,301,297,297,337,339,324,328,275,283,295,301,305,297,339,358,355,362,364,353,346,367,367,379,409,412,423,415,426,376,376,
Burkina Faso,173,174,174,176,173,173,162,162,161,120,123,139,140,145,149,152,160,167,169,171,228,236,249,258,265,279,272,285,300,302,264,303,313,
Bangladesh,114,110,114,117,121,129,128,131,132,135,136,148,148,153,154,160,168,174,180,188,196,200,208,219,224,238,256,261,258,273,272,292,297,
Bulgaria,3220,2590,2390,2590,2520,2750,2750,2510,2440,2230,2280,2420,2410,2490,2440,2600,2700,2670,2650,2340,2390,2590,2490,2320,2450,2570,2520,2630,2640,2630,2520,2760,2890,
Bahrain,10.6k,10.7k,11.5k,11.6k,12.1k,11.5k,11.6k,12.3k,12.6k,12.6k,12.8k,12.6k,12.2k,11.9k,11.3k,12k,11.6k,11.5k,11.6k,10.4k,10.3k,10.6k,10000,11.2k,10.3k,10.4k,9880,9440,9530,10.4k,10.8k,10.7k,10.7k,0
Bahamas,2340,,,,,,,,,,,,,,1950,2020,2030,2010,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,1580,1420,1050,949,385,402,450,671,819,802,1040,1000,1050,1050,1160,1230,1300,1320,1510,1600,1700,1910,1820,1790,1680,1760,1950,1970,2210,2160,2150,2270,2270,
Belarus,4460,4340,3620,3080,2620,2430,2510,2510,2470,2420,2470,2500,2560,2650,2760,2780,2970,2930,2940,2790,2900,3080,3220,2870,2920,2660,2640,2690,2850,2750,2670,2930,2860,
Belize,580,,,,,,,,,,,,,,571,576,597,601,,,,,,,,,,,,,,,,
Bolivia,361,364,377,396,430,475,521,560,558,537,424,445,520,524,523,567,568,570,572,586,625,660,704,699,758,749,779,801,803,796,658,758,798,
Brazil,942,943,937,945,980,999,1040,1070,1080,1090,1080,1090,1100,1110,1160,1170,1200,1260,1310,1260,1380,1390,1430,1480,1520,1480,1410,1430,1400,1410,1380,1430,1430,1480
Barbados,1250,,,,,,,,,,,,,,1400,1450,1470,1480,,,,,,,,,,,,,,,,
Brunei,6770,7440,7780,7300,6600,7720,7590,7650,7450,7430,7310,6620,6340,7230,6510,6180,8640,8700,9380,7910,8260,9700,9450,7400,8530,6440,7010,8390,8300,9220,9180,8960,9540,
Bhutan,95,,,,,,,,,,,,,,277,308,315,360,,,,,,,,,,,,,,,,
Botswana,933,925,1040,1010,968,966,919,943,1040,1050,1070,1060,1060,1040,1080,1090,1100,1120,1160,1050,1130,1070,1200,1240,1330,1310,1250,1280,1340,1240,1120,1140,1170,
Canada,7640,7530,7610,7780,7970,7990,8070,8070,7960,8110,8220,8010,7940,8300,8370,8370,8420,8350,8090,7690,7650,7710,7630,7660,7770,7680,7940,8170,8160,8120,7490,7600,7630,7420
Switzerland,3620,3620,3610,3480,3480,3410,3460,3510,3540,3530,3470,3660,3540,3520,3510,3470,3600,3390,3480,3460,3320,3180,3170,3270,3030,2920,2810,2800,2800,2850,2690,2620,2590,2520
Chile,1040,1050,1120,1130,1190,1260,1380,1520,1560,1630,1620,1570,1610,1610,1700,1740,1790,1840,1800,1740,1800,1940,2120,2180,1950,1970,2070,2070,2070,2150,1950,2030,2120,1960
China,770,737,753,788,816,867,882,872,868,877,897,921,972,1100,1250,1370,1490,1590,1630,1730,1900,2020,2080,2130,2180,2170,2150,2210,2310,2400,2470,2630,2690,
Cote d'Ivoire,357,352,369,368,362,347,375,368,354,408,384,359,374,345,475,479,460,484,476,426,370,412,442,446,439,384,392,393,359,364,375,468,472,
Cameroon,440,431,423,426,428,424,423,427,427,419,426,420,430,435,437,429,385,353,346,364,356,363,369,375,395,403,400,393,392,387,387,385,384,
"Congo, Dem. Rep.",322,312,307,302,289,289,293,293,293,284,275,276,277,279,282,284,285,287,289,288,290,297,355,357,359,359,355,342,340,335,372,394,391,
"Congo, Rep.",331,336,322,315,264,293,268,251,246,236,226,243,239,275,283,294,370,316,328,359,376,484,540,554,536,552,561,548,552,583,587,588,628,
Colombia,751,745,757,773,789,786,789,753,765,676,668,656,634,638,632,653,679,666,692,715,701,710,681,882,885,887,911,859,816,887,810,873,776,782
Comoros,40.1,,,,,,,,,,,,,,58.5,62.4,69.4,66.5,,,,,,,,,,,,,,,,
Cape Verde,77.4,,,,,,,,,,,,,,186,204,208,208,,,,,,,,,,,,,,,,
Costa Rica,537,556,700,696,669,667,654,648,630,681,730,721,749,788,922,909,974,1010,1010,1000,999,993,1020,1060,1060,1020,1000,973,950,997,949,997,1010,967
Cuba,1640,1340,1170,972,998,994,1080,1110,1040,1070,1150,1120,1040,1030,1000,946,944,896,951,922,1000,970,990,940,958,978,960,923,880,866,854,815,816,
Cyprus,1740,1750,1950,2050,2290,1970,2150,2070,2170,2140,2260,2200,2190,2350,2160,2160,2210,2290,2400,2310,2190,2090,1940,1650,1660,1680,1760,1790,1770,1760,1640,1670,1680,
Czech Republic,4820,4390,4270,4130,3990,4040,4170,4210,4080,3810,4020,4140,4200,4390,4490,4430,4520,4490,4360,4080,4310,4140,4110,4110,3980,3980,3930,4090,4080,4000,3760,4060,3900,3530
Germany,4420,4300,4190,4120,4090,4120,4250,4200,4180,4080,4090,4210,4110,4100,4130,4110,4240,4020,4080,3820,4030,3890,3910,3990,3790,3780,3770,3760,3660,3570,3350,3470,3240,2950
Djibouti,224,,,,,,,,,,,,,,161,166,167,164,,,,,,,,,,,,,,,,
Dominica,304,,,,,,,,,,,,,,568,597,610,625,,,,,,,,,,,,,,,,
Denmark,3380,3740,3560,3650,3760,3710,4170,3850,3770,3600,3490,3590,3540,3730,3600,3480,3730,3630,3500,3360,3500,3220,3070,3080,2880,2850,2890,2900,2870,2760,2640,2760,2630,2480
Dominican Republic,561,554,602,572,645,665,681,747,781,798,856,820,882,784,749,772,793,812,773,744,773,780,791,762,746,798,843,824,861,939,843,939,950,
Algeria,874,903,902,884,833,852,809,813,828,872,874,863,911,956,954,979,1030,1080,1070,1150,1150,1170,1260,1270,1360,1410,1370,1380,1440,1460,1370,1450,1500,
Ecuador,604,622,616,563,591,679,702,715,722,638,639,669,709,770,786,838,811,875,763,830,867,891,872,912,983,937,886,898,870,904,785,886,905,
Egypt,575,560,560,568,535,558,579,590,616,614,570,634,636,647,692,779,806,844,859,862,838,860,867,824,833,809,872,896,871,845,805,886,900,
Eritrea,,,488,496,496,493,492,484,311,317,315,323,300,331,269,264,245,244,239,245,249,259,262,261,266,272,277,278,283,285,285,287,290,
Spain,2320,2400,2430,2320,2440,2540,2490,2630,2760,2880,2990,3050,3100,3150,3230,3240,3190,3170,3020,2750,2740,2680,2680,2510,2460,2550,2560,2690,2670,2570,2300,2420,2410,2300
Estonia,6820,6340,4200,3640,4110,3920,4150,4070,3790,3540,3380,3590,3380,3680,3950,4020,4010,4690,4140,3360,4420,4310,3980,4440,4230,3700,4580,4440,4360,3660,3370,3430,3560,2880
Ethiopia,368,367,361,363,364,365,365,364,364,363,364,367,367,368,368,365,366,368,369,369,368,371,372,376,380,380,384,382,385,386,381,374,378,
Finland,5690,5740,5380,5620,5970,5660,6070,6280,6320,6280,6260,6410,6720,7070,7130,6560,7110,6970,6650,6260,6810,6520,6270,6140,6250,5920,6120,6070,6170,6020,5740,5990,5680,5870
Fiji,370,,,,,,,,,,,,,,762,655,628,584,,,,,,,,,,,,,,,,
France,3840,4040,3950,4000,3830,3980,4190,4040,4150,4120,4130,4240,4220,4300,4330,4310,4210,4140,4140,3940,4040,3950,3930,3920,3750,3800,3720,3700,3670,3600,3220,3470,3100,3140
Gabon,1200,1210,1260,1290,1120,1190,1210,1200,1240,1180,1150,1210,1420,1620,1830,2070,2260,2420,2580,2730,2960,2300,1960,2770,2600,2550,2490,2260,2290,2210,2140,2100,2100,
UK,3600,3710,3680,3710,3730,3730,3880,3760,3790,3780,3790,3790,3720,3760,3700,3690,3600,3440,3370,3140,3240,2970,3030,2960,2770,2770,2700,2660,2630,2510,2310,2370,2260,2150
Georgia,2590,2080,1780,1550,969,800,834,756,716,669,704,640,639,685,708,728,781,866,781,812,825,944,994,1120,1190,1260,1300,1310,1300,1370,1330,1430,1540,
Ghana,344,347,350,358,364,372,376,384,396,401,322,313,304,281,270,262,275,264,275,274,296,303,329,324,321,329,328,322,350,354,367,362,359,
Gibraltar,2120,2810,3410,3430,3920,3830,3890,4020,4230,4400,4610,4700,4770,4770,5090,5140,5300,5200,5220,5550,5540,5300,5370,5610,5920,6360,6580,6890,7190,7480,6820,6720,6520,
Gambia,58.6,,,,,,,,,,,,,,66.6,64.8,66.5,75.3,,,,,,,,,,,,,,,,
Guinea-Bissau,76.7,,,,,,,,,,,,,,63.7,63,63.6,65.5,,,,,,,,,,,,,,,,
Equatorial Guinea,280,272,262,258,252,246,255,278,289,298,343,346,451,454,1540,1460,1360,1450,1400,1380,1350,1450,1430,1670,1480,1330,1510,1290,1410,1270,1120,1300,1280,
Greece,2100,2090,2130,2090,2140,2150,2210,2280,2390,2390,2510,2580,2600,2670,2720,2760,2750,2740,2750,2650,2490,2410,2410,2130,2130,2150,2110,2150,2090,2060,1840,1920,1960,1870
Grenada,425,,,,,,,,,,,,,,677,720,735,733,,,,,,,,,,,,,,,,
Guatemala,489,489,503,488,501,516,517,528,559,601,616,618,692,690,696,697,687,720,687,721,714,714,734,739,756,787,834,818,834,852,824,924,888,
Guyana,510,,,,,,,,,,,,,,628,651,659,661,,,,,,,,,,,,,,,,
"Hong Kong, China",1640,1700,1990,1820,1860,1780,1700,1590,2010,2390,2120,2080,1930,2030,1820,1860,1900,2050,1990,2040,1920,2040,1940,1910,1900,2030,2080,1870,1920,1880,1660,1670,1570,
Honduras,478,469,475,472,476,492,480,510,533,470,456,479,489,517,547,529,564,590,586,566,562,607,611,614,604,659,616,538,565,584,545,570,573,
Croatia,1980,1720,1610,1640,1580,1640,1800,1850,1860,1930,1880,2030,2080,2230,2230,2260,2250,2340,2280,2200,2180,2140,2020,1990,1910,2020,2060,2160,2130,2170,2100,2210,2150,
Haiti,351,344,337,329,306,338,344,358,353,355,368,355,361,357,358,363,368,370,369,377,389,402,409,415,400,400,409,411,420,410,398,406,378,
Hungary,2770,2640,2420,2480,2410,2500,2570,2530,2500,2490,2450,2510,2520,2580,2580,2780,2760,2710,2680,2550,2650,2600,2490,2420,2420,2560,2600,2720,2720,2730,2690,2830,2660,2490
Indonesia,461,477,490,534,524,575,587,595,568,587,586,591,606,597,635,637,644,629,633,675,700,713,705,679,702,692,709,739,813,850,810,825,936,
India,324,332,336,339,348,362,368,376,378,393,395,393,397,400,415,425,442,461,482,509,532,547,571,577,610,621,625,648,672,666,625,675,712,
Ireland,2820,2830,2780,2810,2940,2950,3120,3260,3420,3540,3630,3710,3660,3520,3560,3510,3430,3410,3310,3170,3150,2870,2860,2800,2730,2820,2940,2860,2840,2770,2660,2730,2620,2460
Iran,1190,1280,1320,1420,1570,1630,1550,1720,1720,1930,1850,1980,2030,2070,2210,2400,2460,2560,2710,2670,2640,2660,2740,2760,2880,2740,2860,3030,2910,3190,3250,3340,3270,
Iraq,1140,898,1300,1560,1690,1580,1480,1730,1270,959,1090,1180,1090,940,980,949,916,909,962,996,1060,1130,1190,1180,1080,998,1080,1190,1290,1320,1140,1280,1410,
Iceland,9060,8190,7920,8380,8450,8410,8990,8780,9290,10.4k,11.4k,10.9k,11.2k,11.1k,10.9k,10.9k,13.2k,15.2k,17.3k,17.9k,17k,18.2k,17.6k,18.2k,17.9k,16.9k,15.7k,16.2k,17.3k,16.7k,16.1k,15.8k,15.9k,15.9k
Israel,2460,2320,2580,2630,2740,2800,2800,2880,2890,2740,2900,2970,2860,2950,2820,2660,2880,2900,3130,2870,3040,2980,2970,2660,2530,2610,2570,2480,2490,2410,2450,2430,2500,2460
Italy,2580,2650,2630,2610,2580,2800,2800,2830,2910,2960,3010,3020,3040,3170,3170,3220,3180,3150,3090,2870,2930,2830,2710,2580,2410,2510,2490,2530,2490,2490,2310,2530,2410,2320
Jamaica,1100,1090,1140,1130,1140,1200,1260,1240,1290,1310,1340,1360,1290,1340,1340,1300,1470,1480,1180,943,875,924,889,930,903,903,999,920,1030,1080,795,881,969,
Jordan,904,864,921,866,885,905,898,893,903,881,903,876,901,901,1060,1110,1070,1060,1010,1040,973,944,1030,967,930,903,888,917,869,812,755,725,754,
Japan,3540,3560,3630,3640,3820,3920,3990,4020,3940,3990,4070,3990,3990,3960,4090,4070,4060,4020,3870,3710,3900,3620,3540,3570,3450,3400,3370,3390,3340,3260,3050,3200,3140,3040
Kazakhstan,4280,4340,4550,3800,3410,3120,2760,2460,2510,2320,2300,2220,2540,2740,3200,3190,3760,4070,4250,3820,4110,4530,4270,4650,3670,3050,3390,3400,3810,3750,3390,3530,3560,
Kenya,473,466,462,458,450,458,462,454,460,457,460,452,445,435,449,453,459,455,455,469,468,471,461,470,496,529,532,537,545,542,533,538,540,544
Kyrgyz Republic,1700,1520,1100,857,619,523,596,552,579,498,473,436,485,511,498,499,485,561,594,535,504,597,731,674,692,659,624,610,707,610,562,596,645,
Cambodia,,,,,,282,270,259,268,271,273,276,272,276,279,286,290,298,296,311,323,325,334,338,360,380,413,419,441,489,516,501,502,
Kiribati,95,,,,,,,,,,,,,,83.3,81.6,100,108,,,,,,,,,,,,,,,,
St. Kitts and Nevis,534,,,,,,,,,,,,,,1640,1700,1700,1780,,,,,,,,,,,,,,,,
South Korea,2090,2260,2550,2820,2970,3230,3460,3680,3370,3670,3950,3920,4090,4140,4260,4320,4340,4490,4510,4560,4920,5110,5120,5110,5140,5240,5390,5470,5530,5330,5200,5510,5410,5350
Kosovo,,,,,,,,,,,857,1040,1040,1090,1100,1070,1080,1130,1230,1360,1390,1410,1310,1300,1220,,,,,,,,,
Kuwait,5360,1940,5350,7320,8630,8750,8370,8180,9030,9400,9490,9860,9710,10.2k,11k,12k,10.5k,9520,10.6k,10.5k,11.3k,10.5k,10.4k,9780,8680,9730,9680,9530,9770,8350,8870,8570,9130,
Lao,,,,,,,,,,,297,305,309,314,319,325,349,377,407,420,425,424,431,446,458,602,754,812,806,783,702,727,815,
Lebanon,543,659,654,922,992,1120,1160,1280,1240,1270,1140,1200,1180,1160,1150,1080,986,824,1060,1340,1270,1260,1380,1240,1190,1280,1360,1480,1430,1490,1250,973,617,
Libya,2510,2490,2430,2470,2740,2850,2940,2930,2970,2850,2980,3070,3090,3030,3050,3110,2730,2360,2580,2780,3130,2630,3100,2750,3550,3230,3120,3490,3060,3410,1690,2370,2540,
St. Lucia,406,,,,,,,,,,,,,,731,743,714,763,,,,,,,,,,,,,,,,
Sri Lanka,337,340,343,356,337,342,375,382,381,399,432,411,414,435,438,445,446,452,437,441,467,472,482,457,486,501,543,514,508,523,511,527,474,
Lesotho,,,,,,,,,,,,,,,14.2,16.9,9.77,9.73,,,,,,,,,,,,,,,,
Lithuania,4340,4600,2980,2470,2220,2400,2610,2490,2640,2260,2040,2390,2580,2710,2780,2670,2670,2930,2980,2770,2280,2410,2470,2360,2380,2430,2510,2670,2730,2720,2670,2760,2430,2340
