"Category","Annual Mean"
1950,23.19
1951,23.23
1952,23.48
1953,23.39
1954,23.28
1955,22.83
1956,22.76
1957,23.32
1958,23.35
1959,23.34
1960,23.4
1961,23.3
1962,22.96
1963,22.95
1964,23.16
1965,23.01
1966,23.21
1967,22.93
1968,23.27
1969,23.57
1970,23.36
1971,22.76
1972,23.34
1973,23.75
1974,23.13
1975,23.09
1976,22.89
1977,23.15
1978,23.34
1979,23.61
1980,23.67
1981,23.6
1982,23.45
1983,23.42
1984,23.13
1985,23.21
1986,23.35
1987,24.04
1988,23.56
1989,23.33
1990,23.77
1991,23.86
1992,23.43
1993,23.46
1994,23.7
1995,23.51
1996,23.31
1997,23.75
1998,24.51
1999,23.59
2000,23.59
2001,23.81
2002,24.1
2003,24.13
2004,23.69
2005,23.8
2006,24.02
2007,23.85
2008,23.32
2009,23.94
2010,24.4
2011,23.19
2012,24.08
2013,23.95
2014,24.04
2015,24.59
2016,24.56
2017,24.24
2018,24.29
2019,24.84
2020,24.45
2021,24.16
2022,24.02
2023,24.55
